ID,type,group_num,group_weight,target_type,initial_time,initial_num,activite_range,time_gap,level_range,target_range,robot_sleep_rule1,robot_sleep_rule2_time,robot_sleep_rule2_target
INT,INT,INT,INT,INT,INT_ARRAY,INT_ARRAY,INT_ARRAY,INT_ARRAY,INT_ARRAY,INT_ARRAY,INT_ARRAY,INT_ARRAY,STRING
#,机器人类型（1.普通；2.俱乐部）,机器人组号,机器人组内权重,目标类型（1.关卡;2.收集物）,首次开始行动条件（秒）,首次生成机器人时的初始积分,行动次数区间（左开右闭，最左侧从0开始，最右侧为无限大）,与行动次数区间对应的行动间隔（每个次数区间对应两个值，表示下限和上限；不同区间之间用;分隔）0到1 若有开始行动等待时间则按照开始等待时间来算,与行动次数区间对应的关卡步长（每个次数区间对应两个值，表示下限和上限；不同区间之间用;分隔）,单关产生的收集物范围,收集目标大于等于排名最高玩家该值时休眠,活动时间占比（机器人初始化到活动结束时时间占比）,时间分段对应的目标获取上限
1011,1,1001,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,5|3|5|3|5|3|5,"{30|32,30|32,27|29,0|0,28|30,0|0,28|30}"
1012,1,1001,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,4|4|4|3|3|5|3|5,"{24|26,0|0,22|24,22|24,24|26,24|26,0|0,25|27}"
1013,1,1001,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,5|5|5|3|3|3|4|4|4|4,"{24|26,0|0,24|26,0|0,23|25,0|0,25|27,23|25,0|0,23|25}"
1014,1,1001,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,3|5|3|3|3,"{49|51,0|0,50|52,0|0,48|50}"
1015,1,1001,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,5|5|4|3|3|5|3|4|3,"{24|26,22|24,25|27,0|0,25|27,0|0,23|25,0|0,25|27}"
1016,1,1001,10,1,90|300,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,3|4|5|5|5,"{49|51,0|0,48|50,0|0,45|47}"
1017,1,1001,10,1,90|300,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,3|5|3|5|5,"{37|39,0|0,38|40,34|36,38|40}"
1018,1,1001,10,1,90|300,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,5|3|5|4|3|5,"{22|24,23|25,23|25,24|26,22|24,25|27}"
1019,1,1001,10,1,90|300,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,5|4|3|4,"{45|47,0|0,47|49,48|50}"
1020,1,1001,10,1,90|300,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,3|3|3|5|5|4,"{34|36,0|0,37|39,0|0,36|38,36|38}"
1021,1,1002,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,4|4|4|3|4,"{18|20,20|22,0|0,18|20,20|22}"
1022,1,1002,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,3|4|4|5,"{27|29,26|28,0|0,26|28}"
1023,1,1002,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,5|4|5|4|4,"{20|22,0|0,19|21,20|22,18|20}"
1024,1,1002,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,3|5|5|5|5,"{26|28,0|0,27|29,0|0,25|27}"
1025,1,1002,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,5|5|5|4,"{26|28,25|27,0|0,27|29}"
1026,1,1002,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,3|5|3|3|3,"{20|22,20|22,0|0,18|20,19|21}"
1027,1,1002,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,3|3,"{41|43,40|42}"
1028,1,1002,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,4|5|3|3|5|5,"{18|20,0|0,20|22,19|21,0|0,18|20}"
1029,1,1002,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,4|5|3,"{26|28,24|26,24|26}"
1030,1,1002,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,5|5|5|4|5|3,"{20|22,19|21,0|0,19|21,0|0,20|22}"
1031,1,1002,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,5|5|5|5|5,"{26|28,0|0,27|29,0|0,27|29}"
1032,1,1002,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,3|3,"{39|41,38|40}"
1033,1,1002,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,5|3|3|3|5,"{20|22,19|21,18|20,0|0,19|21}"
1034,1,1002,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,3|4|3,"{27|29,27|29,25|27}"
1035,1,1002,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,5|5|5|5,"{25|27,26|28,0|0,24|26}"
1036,1,1002,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,4|3,"{38|40,37|39}"
1037,1,1002,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,4|5|5|3|4,"{18|20,0|0,18|20,18|20,19|21}"
1038,1,1002,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,4|3|5,"{41|43,0|0,37|39}"
1039,1,1002,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,3|3|3|5|3,"{18|20,19|21,18|20,0|0,19|21}"
1040,1,1002,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,3|3|5,"{39|41,0|0,39|41}"
1041,1,1003,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,4|3|4|3,"{14|16,16|18,0|0,14|16}"
1042,1,1003,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,3|4,"{22|24,22|24}"
1043,1,1003,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,3|4|4,"{22|24,0|0,22|24}"
1044,1,1003,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,3|4|4,"{23|25,0|0,24|26}"
1045,1,1003,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,5|5,"{22|24,22|24}"
1046,1,1003,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,4|4|5|5,"{16|18,0|0,14|16,16|18}"
1047,1,1003,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,3|3|5|4,"{14|16,0|0,16|18,14|16}"
1048,1,1003,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,3|4|5|5,"{16|18,16|18,0|0,15|17}"
1049,1,1003,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,5|5|4|4,"{16|18,0|0,15|17,15|17}"
1050,1,1003,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,4|5|5,"{14|16,14|16,15|17}"
1051,1,1003,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,5|4,"{23|25,22|24}"
1052,1,1003,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,4|5|3|3,"{15|17,14|16,0|0,14|16}"
1053,1,1003,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,4|5,"{24|26,24|26}"
1054,1,1003,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,4|5,"{22|24,24|26}"
1055,1,1003,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,3|5|5,"{24|26,0|0,24|26}"
1056,1,1003,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,4|4|3|5|3,"{15|17,0|0,15|17,0|0,15|17}"
1057,1,1003,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,4|3|3,"{23|25,0|0,23|25}"
1058,1,1003,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,3|4|5,"{16|18,14|16,14|16}"
1059,1,1003,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,4|5|4,"{14|16,16|18,14|16}"
1060,1,1003,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,3|4|5,"{22|24,0|0,24|26}"
1061,1,1004,10,1,90|300,1|1,1|30|60,180|300;180|300;180|300;180|600,1|1;1|1;1|1;1|1,-1,1|30,3|4,"{6|8,5|7}"
1062,1,1004,10,1,90|300,1|1,1|30|60,180|300;180|300;180|300;180|600,1|1;1|1;1|1;1|1,-1,1|30,3|3|3|5,"{3|5,0|0,3|5,3|5}"
1063,1,1004,10,1,90|300,1|1,1|30|60,180|300;180|300;180|300;180|600,1|1;1|1;1|1;1|1,-1,1|30,3|4,"{6|8,5|7}"
1064,1,1004,10,1,90|300,1|1,1|30|60,180|300;180|300;180|300;180|600,1|1;1|1;1|1;1|1,-1,1|30,5|4|4,"{3|5,3|5,3|5}"
1065,1,1004,10,1,90|300,1|1,1|30|60,180|300;180|300;180|300;180|600,1|1;1|1;1|1;1|1,-1,1|30,3|4|3|4|4,"{3|5,0|0,3|5,0|0,3|5}"
1066,1,1004,10,1,90|300,1|1,1|30|60,180|300;180|300;180|300;180|600,1|1;1|1;1|1;1|1,-1,1|30,3|4|5,"{3|5,3|5,3|5}"
1067,1,1004,10,1,90|300,1|1,1|30|60,180|300;180|300;180|300;180|600,1|1;1|1;1|1;1|1,-1,1|30,4|5|3|4|4,"{3|5,0|0,3|5,0|0,3|5}"
1068,1,1004,10,1,90|300,1|1,1|30|60,180|300;180|300;180|300;180|600,1|1;1|1;1|1;1|1,-1,1|30,3|3,"{6|8,6|8}"
1069,1,1004,10,1,90|300,1|1,1|30|60,180|300;180|300;180|300;180|600,1|1;1|1;1|1;1|1,-1,1|30,4|3,"{5|7,5|7}"
1070,1,1004,10,1,90|300,1|1,1|30|60,180|300;180|300;180|300;180|600,1|1;1|1;1|1;1|1,-1,1|30,5|5|5,"{6|8,0|0,5|7}"
1071,1,1004,10,1,90|300,1|1,1|30|60,180|300;180|300;180|300;180|600,1|1;1|1;1|1;1|1,-1,1|30,3|5,"{6|8,5|7}"
1072,1,1004,10,1,90|300,1|1,1|30|60,180|300;180|300;180|300;180|600,1|1;1|1;1|1;1|1,-1,1|30,5|3|3|3|5,"{3|5,0|0,3|5,0|0,3|5}"
1073,1,1004,10,1,90|300,1|1,1|30|60,180|300;180|300;180|300;180|600,1|1;1|1;1|1;1|1,-1,1|30,4|4|3,"{6|8,0|0,5|7}"
1074,1,1004,10,1,90|300,1|1,1|30|60,180|300;180|300;180|300;180|600,1|1;1|1;1|1;1|1,-1,1|30,3|4|3,"{3|5,3|5,3|5}"
1075,1,1004,10,1,90|300,1|1,1|30|60,180|300;180|300;180|300;180|600,1|1;1|1;1|1;1|1,-1,1|30,4|4|4|3|4,"{3|5,0|0,3|5,0|0,3|5}"
1076,1,1004,10,1,90|300,1|1,1|30|60,180|300;180|300;180|300;180|600,1|1;1|1;1|1;1|1,-1,1|30,3|5|5|5,"{3|5,3|5,0|0,3|5}"
1077,1,1004,10,1,90|300,1|1,1|30|60,180|300;180|300;180|300;180|600,1|1;1|1;1|1;1|1,-1,1|30,5|3,"{6|8,6|8}"
1078,1,1004,10,1,90|300,1|1,1|30|60,180|300;180|300;180|300;180|600,1|1;1|1;1|1;1|1,-1,1|30,5|4|3|3,"{3|5,0|0,3|5,3|5}"
1079,1,1004,10,1,90|300,1|1,1|30|60,180|300;180|300;180|300;180|600,1|1;1|1;1|1;1|1,-1,1|30,4|5|4,"{6|8,0|0,5|7}"
1080,1,1004,10,1,90|300,1|1,1|30|60,180|300;180|300;180|300;180|600,1|1;1|1;1|1;1|1,-1,1|30,3|3|3,"{6|8,0|0,5|7}"
1081,1,1011,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,5|5|4|3|3|5|4|5|5|5,"{14|16,0|0,15|17,0|0,13|15,0|0,14|16,14|16,0|0,13|15}"
1082,1,1011,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,3|3|4,"{29|31,31|33,31|33}"
1083,1,1011,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,5|3|4|5|5|3|4|5|3|4,"{13|15,0|0,14|16,0|0,15|17,13|15,0|0,13|15,0|0,15|17}"
1084,1,1011,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,5|4|5|5,"{32|34,30|32,0|0,29|31}"
1085,1,1011,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,5|4|4|5|4|3,"{23|25,0|0,22|24,23|25,0|0,23|25}"
1086,1,1011,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,4|3|4|4|3|5|4|5,"{15|17,14|16,15|17,0|0,15|17,14|16,0|0,15|17}"
1087,1,1011,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,5|5|3|5|3|4|5|5|4,"{14|16,0|0,13|15,0|0,14|16,15|17,0|0,13|15,13|15}"
1088,1,1011,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,4|4|4|3|4|5|3|5|3|4,"{14|16,15|17,0|0,13|15,0|0,14|16,0|0,14|16,0|0,14|16}"
1089,1,1011,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,5|3|4|5|3|5,"{22|24,0|0,22|24,22|24,0|0,24|26}"
1090,1,1011,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,4|3|4,"{43|45,0|0,43|45}"
1091,1,1011,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,4|4|5|5|4|4|4|4,"{15|17,0|0,13|15,14|16,15|17,0|0,13|15,15|17}"
1092,1,1011,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,3|3|5,"{48|50,0|0,45|47}"
1093,1,1011,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,4|5|4|5|3|5|3,"{15|17,15|17,15|17,13|15,0|0,13|15,15|17}"
1094,1,1011,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,4|5|4|3|4|5,"{17|19,18|20,19|21,17|19,0|0,18|20}"
1095,1,1011,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,5|4|4,"{30|32,32|34,29|31}"
1096,1,1011,10,1,90|300,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,3|3|5|4|4,"{18|20,19|21,19|21,17|19,19|21}"
1097,1,1011,10,1,90|300,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,3|3,"{44|46,47|49}"
1098,1,1011,10,1,90|300,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,4|3|4|3|3|3|5,"{17|19,18|20,19|21,0|0,17|19,0|0,18|20}"
1099,1,1011,10,1,90|300,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,4|4|3|4|4|5,"{24|26,0|0,23|25,0|0,24|26,23|25}"
1100,1,1011,10,1,90|300,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,4|3|5|3|5|3|3,"{18|20,0|0,17|19,19|21,19|21,0|0,19|21}"
1101,1,1012,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,4|5|4|5|3|4|5,"{13|15,0|0,13|15,0|0,13|15,0|0,12|14}"
1102,1,1012,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,4|3|4|5|3,"{13|15,12|14,12|14,0|0,13|15}"
1103,1,1012,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,5|3|3|4|3|4,"{13|15,0|0,12|14,13|15,0|0,12|14}"
1104,1,1012,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,4|4|5|4|4,"{17|19,0|0,15|17,0|0,16|18}"
1105,1,1012,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,4|4|3|3,"{12|14,12|14,13|15,12|14}"
1106,1,1012,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,4|5|3|3|3,"{15|17,0|0,15|17,0|0,15|17}"
1107,1,1012,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,3|5|5,"{23|25,0|0,24|26}"
1108,1,1012,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,3|5|3|4|3,"{12|14,12|14,12|14,0|0,12|14}"
1109,1,1012,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,4|4|3,"{26|28,0|0,23|25}"
1110,1,1012,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,5|4,"{23|25,26|28}"
1111,1,1012,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,3|4|5,"{24|26,0|0,23|25}"
1112,1,1012,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,5|5|3|4,"{13|15,12|14,12|14,12|14}"
1113,1,1012,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,4|4|5,"{24|26,0|0,24|26}"
1114,1,1012,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,4|3|3|4|5|3|5,"{12|14,0|0,13|15,0|0,13|15,0|0,12|14}"
1115,1,1012,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,3|3,"{23|25,26|28}"
1116,1,1012,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,3|4|3|5|3,"{17|19,0|0,17|19,0|0,17|19}"
1117,1,1012,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,5|4|4,"{24|26,0|0,24|26}"
1118,1,1012,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,5|4|5,"{17|19,16|18,16|18}"
1119,1,1012,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,5|4|4,"{23|25,0|0,24|26}"
1120,1,1012,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,4|5|3|3,"{15|17,16|18,0|0,16|18}"
1121,1,1013,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,4|5|3|4,"{10|12,9|11,0|0,10|12}"
1122,1,1013,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,3|3,"{16|18,16|18}"
1123,1,1013,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,3|4|5,"{16|18,0|0,15|17}"
1124,1,1013,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,5|3|3|3,"{9|11,9|11,0|0,10|12}"
1125,1,1013,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,5|5|5,"{9|11,9|11,9|11}"
1126,1,1013,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,5|3|5,"{10|12,10|12,10|12}"
1127,1,1013,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,4|4|5|3|4,"{10|12,0|0,9|11,0|0,9|11}"
1128,1,1013,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,3|5|4|5|3,"{9|11,0|0,9|11,0|0,9|11}"
1129,1,1013,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,4|3|4|3,"{10|12,10|12,0|0,9|11}"
1130,1,1013,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,5|3|4|4|4,"{10|12,0|0,10|12,0|0,10|12}"
1131,1,1013,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,5|4|4,"{16|18,0|0,14|16}"
1132,1,1013,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,4|3|4|3,"{9|11,10|12,0|0,10|12}"
1133,1,1013,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,3|3,"{15|17,14|16}"
1134,1,1013,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,3|3|5,"{15|17,0|0,15|17}"
1135,1,1013,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,5|5|5,"{14|16,0|0,15|17}"
1136,1,1013,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,5|5|5,"{14|16,0|0,14|16}"
1137,1,1013,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,3|3|3|5,"{9|11,9|11,0|0,9|11}"
